,C1,L1,P2,L2,1C1,1L1,1P2,1L2,2C1,2L1,2P2,2L2,3C1,3L1,3P2,3L2,MW,1MW,L12,1L12,2L12,3L12,L1M,L2M,GF,1GF,2GF
226,21663174.27,113840742.6,21663180.86,88707081.7,2073.664,10897.901,2073.75,8491.874,2.249999996,12.52100001,2.058999997,9.774000004,-0.507000003,0.074000016,-0.59300001,0.09300001,-5.038035501,0.112839151,25133660.9,2406.03,2.729999974,-0.090000048,21663173.02,21663175.35,-2.330780342,3.17097E-05,-0.007262882
227,21665250.29,113851653,21665256.92,88715583.28,2076.023,10910.371,2076.059,8501.573,2.359000005,12.46999998,2.308999997,9.699000001,0.109000009,-0.051000029,0.25,-0.075000003,-4.841345951,0.19668955,25136069.72,2408.82,2.790000021,0.060000047,21665249.2,21665251.53,-2.323358886,0.007421456,0.007389747
228,21667328.96,113862575.7,21667335.47,88724094.48,2078.672,10922.724,2078.551,8511.204,2.648999996,12.35300002,2.492000006,9.631000012,0.289999992,-0.116999969,0.18300001,-0.067999989,-4.957889982,-0.116544031,25138481.22,2411.5,2.679999992,-0.110000029,21667327.72,21667330.05,-2.324627507,-0.001268622,-0.008690078
229,21669410.18,113873510.8,21669416.39,88732615.34,2081.219,10935.116,2080.918,8520.861,2.547000002,12.39199999,2.366999995,9.656999975,-0.101999994,0.038999975,-0.125000011,0.025999963,-5.201484587,-0.243594605,25140895.46,2414.24,2.739999995,0.060000002,21669408.6,21669410.93,-2.325325254,-0.000697747,0.000570875
230,21671493.21,113884458.3,21671499.59,88741145.81,2083.031,10947.439,2083.195,8530.464,1.811999999,12.323,2.277000003,9.603000015,-0.735000003,-0.068999991,-0.089999992,-0.05399996,-4.993870605,0.207613982,25143312.49,2417.03,2.790000007,0.050000012,21671491.84,21671494.16,-2.313241605,0.01208365,0.012781397
231,21673578.5,113895418.2,21673585.33,88749686.01,2085.289,10959.939,2085.742,8540.206,2.258000001,12.5,2.547000002,9.741999999,0.446000002,0.177000001,0.27,0.138999984,-4.880592581,0.113278024,25145732.19,2419.7,2.670000002,-0.120000005,21673577.44,21673579.76,-2.317681793,-0.004440188,-0.016523838
232,21675666.52,113906390.4,21675673.07,88758235.81,2088.016,10972.242,2087.738,8549.798,2.726999998,12.30300002,1.995999996,9.592000008,0.468999997,-0.196999982,-0.551000006,-0.149999991,-4.863724966,0.016867615,25148154.59,2422.4,2.700000003,0.030000001,21675665.38,21675667.71,-2.32592785,-0.008246057,-0.003805868
233,21677756.96,113917375.2,21677763.41,88766795.35,2090.445,10984.75,2090.344,8559.542,2.429000001,12.50799999,2.606000002,9.743999988,-0.297999997,0.204999968,0.610000007,0.15199998,-4.886011746,-0.02228678,25150579.85,2425.26,2.859999999,0.159999996,21677755.72,21677758.04,-2.315081105,0.010846745,0.019092802
234,21679849.96,113928372.2,21679856.37,88775364.46,2093,10997.044,2092.961,8569.111,2.555,12.294,2.616999999,9.569000006,0.125999998,-0.213999987,0.010999996,-0.174999982,-5.278904531,-0.392892785,25153007.74,2427.89,2.629999995,-0.230000004,21679848.38,21679850.7,-2.319743305,-0.004662201,-0.015508946
235,21681944.13,113939381.6,21681951.42,88783943.21,2094.164,11009.405,2095.051,8578.75,1.164000001,12.361,2.09,9.638999999,-1.390999999,0.067000002,-0.526999999,0.069999993,-4.73672197,0.542182561,25155438.39,2430.65,2.75999999,0.129999995,21681943.4,21681945.72,-2.318950415,0.000792891,0.005455092
236,21684042.2,113950403.3,21684048.7,88792531.53,2098.078,11021.684,2097.281,8588.313,3.914000001,12.27899998,2.230000004,9.562999994,2.75,-0.082000017,0.140000004,-0.076000005,-5.140735548,-0.404013578,25157871.77,2433.38,2.730000004,-0.029999986,21684040.76,21684043.08,-2.314637091,0.004313324,0.003520433
237,21686141.74,113961437.4,21686148.3,88801129.47,2099.539,11034.03,2099.594,8597.939,1.460999995,12.34600002,2.312999994,9.626000017,-2.453000005,0.067000031,0.082999989,0.063000023,-4.902164675,0.238570873,25160307.93,2436.16,2.780000016,0.050000012,21686140.48,21686142.78,-2.299984477,0.014652614,0.01033929
238,21688243.51,113972483.6,21688250.56,88809736.97,2101.766,11046.292,2102.266,8607.504,2.227000006,12.26200001,2.672000006,9.564999983,0.76600001,-0.084000006,0.359000012,-0.061000034,-4.929344602,-0.027179927,25162746.63,2438.7,2.539999977,-0.240000039,21688242.5,21688244.82,-2.317428067,-0.01744359,-0.032096203
239,21690348.31,113983542.4,21690354.77,88818354.14,2104.797,11058.726,2104.207,8617.174,3.030999996,12.43399999,1.940999996,9.670000017,0.80399999,0.171999976,-0.73100001,0.105000034,-4.993146852,-0.06380225,25165188.26,2441.63,2.930000022,0.390000045,21690346.92,21690349.22,-2.298684143,0.018743925,0.036187515
240,21692454.99,113994613.3,21692461.56,88826980.86,2106.687,11070.958,2106.785,8626.715,1.890000001,12.23200001,2.578000002,9.540999979,-1.140999995,-0.201999977,0.637000006,-0.129000038,-5.04382671,-0.050679858,25167632.44,2444.18,2.549999982,-0.38000004,21692453.64,21692455.95,-2.309594311,-0.010910168,-0.029654093
241,21694563.98,114005696.7,21694570.51,88835617.21,2108.985,11083.337,2108.957,8636.352,2.298000004,12.37899999,2.171999998,9.637000009,0.408000004,0.146999985,-0.406000003,0.096000031,-4.828352772,0.215473938,25170079.49,2447.05,2.87000002,0.320000038,21694562.74,21694565.04,-2.293577921,0.01601639,0.026926558
242,21696675.33,114016792.2,21696681.66,88844263.09,2111.351,11095.541,2111.152,8645.879,2.365999997,12.204,2.195000004,9.52700001,0.067999993,-0.174999997,0.023000006,-0.109999999,-4.699653786,0.128698986,25172529.11,2449.62,2.569999978,-0.300000042,21696674.15,21696676.45,-2.302331433,-0.008753512,-0.024769902
243,21698789.27,114027900.1,21698795.69,88852918.6,2113.938,11107.919,2114.024,8655.515,2.586999997,12.37800001,2.871999998,9.635999992,0.221000001,0.17400001,0.676999994,0.108999982,-4.953238878,-0.253585092,25174981.5,2452.39,2.770000011,0.200000033,21698787.91,21698790.21,-2.303187754,-0.000856321,0.007897191
244,21700905.28,114039020.2,21700911.71,88861583.6,2116.015,11120.086,2116.019,8664.997,2.077000003,12.16700001,1.994999997,9.481999993,-0.509999994,-0.210999995,-0.877,-0.153999999,-4.857791387,0.095447491,25177436.6,2455.1,2.710000008,-0.060000002,21700904,21700906.3,-2.300016195,0.003171559,0.004027881
245,21703023.02,114050152.5,21703030.08,88870258.11,2117.735,11132.302,2118.371,8674.509,1.719999999,12.21599999,2.352000006,9.512000009,-0.357000005,0.04899998,0.357000008,0.030000016,-4.394540031,0.463251356,25179894.39,2457.79,2.689999983,-0.020000026,21703022.4,21703024.7,-2.297700956,0.002315238,-0.000856321
246,21705144.18,114061297,21705151.04,88878942.12,2121.164,11144.488,2120.965,8684.012,3.429000001,12.18599999,2.593999997,9.502999991,1.709000003,-0.030000001,0.241999991,-0.009000018,-4.777424689,-0.382884658,25182354.88,2460.49,2.700000003,0.01000002,21705143.13,21705145.42,-2.293799937,0.00390102,0.001585782
247,21707267.17,114072453.8,21707274.02,88887635.7,2122.992,11156.765,2122.977,8693.575,1.827999998,12.27700001,2.011999998,9.563000008,-1.601000004,0.091000021,-0.581999999,0.060000017,-4.65002583,0.127398859,25184818.1,2463.22,2.730000004,0.030000001,21707266.2,21707268.49,-2.286378484,0.007421453,0.003520433
248,21709393.21,114083622.6,21709399.55,88896338.71,2126.039,11168.869,2125.527,8703.012,3.047000002,12.104,2.550000001,9.437000006,1.219000004,-0.173000008,0.538000003,-0.126000002,-5.237174094,-0.587148264,25187283.89,2465.79,2.570000008,-0.159999996,21709391.55,21709393.85,-2.298335265,-0.011956781,-0.019378234
249,21711520.7,114094803.5,21711527.27,88905051.09,2127.492,11180.898,2127.719,8712.381,1.453000002,12.029,2.192000002,9.368999988,-1.594000001,-0.075000003,-0.357999999,-0.068000019,-5.152638569,0.084535525,25189752.41,2468.52,2.729999989,0.159999982,21711519.21,21711521.5,-2.295988314,0.002346952,0.014303733
250,21713650.62,114105996.5,21713657.1,88913772.91,2129.914,11193.008,2129.836,8721.816,2.421999995,12.11,2.117000002,9.435000002,0.968999993,0.081,-0.074999999,0.066000015,-5.064789858,0.087848711,25192223.59,2471.18,2.660000011,-0.069999978,21713649.16,21713651.46,-2.296432327,-0.000444014,-0.002790965
251,21715782.65,114117201.7,21715789.41,88922504.16,2132.031,11205.126,2132.312,8731.256,2.117000002,12.118,2.475999996,9.439999998,-0.304999992,0.008000001,0.358999994,0.004999995,-4.842979304,0.221810554,25194697.54,2473.95,2.769999996,0.109999985,21715781.44,21715783.72,-2.278195854,0.018236473,0.018680487
252,21717917.52,114128418.9,21717924,88931244.89,2134.868,11217.279,2134.586,8740.728,2.837000001,12.153,2.274,9.472000003,0.719999999,0.034999996,-0.201999996,0.032000005,-5.111585077,-0.268605773,25197174.01,2476.47,2.519999996,-0.25,21717916,21717918.29,-2.291548129,-0.013352275,-0.031588748
253,21720054.23,114139648.3,21720060.68,88939995.02,2136.711,11229.338,2136.676,8750.129,1.843000002,12.059,2.09,9.400999993,-0.993999999,-0.093999997,-0.184,-0.07100001,-4.841997709,0.269587368,25199653.28,2479.27,2.799999997,0.280000001,21720052.89,21720055.17,-2.278893597,0.012654532,0.026006807
254,21722193.33,114150889.8,21722199.66,88948754.62,2139.101,11241.493,2138.988,8759.599,2.389999997,12.155,2.312000003,9.470000014,0.546999995,0.096000001,0.222000003,0.069000021,-4.669561088,0.172436621,25202135.18,2481.9,2.629999995,-0.170000002,21722192.07,21722194.35,-2.276356347,0.002537251,-0.010117281
255,21724334.66,114162143.4,21724341.39,88957523.7,2141.328,11253.657,2141.727,8769.082,2.226999998,12.16399999,2.738999996,9.482999995,-0.162999999,0.008999988,0.426999994,0.012999982,-4.728607751,-0.059046663,25204619.7,2484.52,2.62000002,-0.009999976,21724333.56,21724335.85,-2.28637848,-0.010022134,-0.012559384
